"id","review_count","average_rating"
2912000,0,0
2912001,0,0
2912002,0,0
2912003,0,0
2912004,0,0
2912005,0,0
2912006,0,0
2912007,0,0
2912008,0,0
2912009,0,0
2912010,0,0
2912011,0,0
2912012,0,0
2912013,0,0
2912014,0,0
2912015,0,0
2912016,0,0
2912017,0,0
2912018,0,0
2912019,0,0
2912020,0,0
2912021,0,0
2912022,0,0
2912023,0,0
2912024,0,0
2912025,0,0
2912026,0,0
2912027,0,0
2912028,0,0
2912029,0,0
2912030,0,0
2912031,0,0
2912032,0,0
2912033,0,0
2912034,0,0
2912035,0,0
2912036,0,0
2912037,0,0
2912038,0,0
2912039,0,0
2912040,0,0
2912041,0,0
2912042,0,0
2912043,0,0
2912044,0,0
2912045,0,0
2912046,0,0
2912047,0,0
2912048,0,0
2912049,0,0
2912050,0,0
2912051,0,0
2912052,0,0
2912053,0,0
2912054,0,0
2912055,0,0
2912056,0,0
2912057,0,0
2912058,0,0
2912059,0,0
2912060,0,0
2912061,0,0
2912062,0,0
2912063,0,0
2912064,0,0
2912065,0,0
2912066,0,0
2912067,0,0
2912068,0,0
2912069,0,0
2912070,0,0
2912071,0,0
2912072,0,0
2912073,0,0
2912074,0,0
2912075,0,0
2912076,0,0
2912077,0,0
2912078,0,0
2912079,0,0
2912080,0,0
2912081,0,0
2912082,0,0
2912083,0,0
2912084,0,0
2912085,0,0
2912086,0,0
2912087,0,0
2912088,0,0
2912089,0,0
2912090,0,0
2912091,0,0
2912092,0,0
2912093,0,0
2912094,0,0
2912095,0,0
2912096,0,0
2912097,0,0
2912098,0,0
2912099,0,0
2912100,0,0
2912101,0,0
2912102,0,0
2912103,0,0
2912104,0,0
2912105,0,0
2912106,0,0
2912107,0,0
2912108,0,0
2912109,0,0
2912110,0,0
2912111,0,0
2912112,0,0
2912113,0,0
2912114,0,0
2912115,0,0
2912116,0,0
2912117,0,0
2912118,0,0
2912119,0,0
2912120,0,0
2912121,0,0
2912122,0,0
2912123,0,0
2912124,0,0
2912125,0,0
2912126,0,0
2912127,0,0
2912128,0,0
2912129,0,0
2912130,0,0
2912131,0,0
2912132,0,0
2912133,0,0
2912134,0,0
2912135,0,0
2912136,0,0
2912137,0,0
2912138,0,0
2912139,0,0
2912140,0,0
2912141,0,0
2912142,0,0
2912143,0,0
2912144,0,0
2912145,0,0
2912146,0,0
2912147,0,0
2912148,0,0
2912149,0,0
2912150,0,0
2912151,0,0
2912152,0,0
2912153,0,0
2912154,0,0
2912155,0,0
2912156,0,0
2912157,0,0
2912158,0,0
2912159,0,0
2912160,0,0
2912161,0,0
2912162,0,0
2912163,0,0
2912164,0,0
2912165,0,0
2912166,0,0
2912167,0,0
2912168,0,0
2912169,0,0
2912170,0,0
2912171,0,0
2912172,0,0
2912173,0,0
2912174,0,0
2912175,0,0
2912176,0,0
2912177,0,0
2912178,0,0
2912179,0,0
2912180,0,0
2912181,0,0
2912182,0,0
2912183,0,0
2912184,0,0
2912185,0,0
2912186,0,0
2912187,0,0
2912188,0,0
2912189,0,0
2912190,0,0
2912191,0,0
2912192,0,0
2912193,0,0
2912194,0,0
2912195,0,0
2912196,0,0
2912197,0,0
2912198,0,0
2912199,0,0
2912200,0,0
2912201,0,0
2912202,0,0
2912203,0,0
2912204,0,0
2912205,0,0
2912206,0,0
2912207,0,0
2912208,0,0
2912209,0,0
2912210,0,0
2912211,0,0
2912212,0,0
2912213,0,0
2912214,0,0
2912215,0,0
2912216,0,0
2912217,0,0
2912218,0,0
2912219,0,0
2912220,0,0
2912221,0,0
2912222,0,0
2912223,0,0
2912224,0,0
2912225,0,0
2912226,0,0
2912227,0,0
2912228,0,0
2912229,0,0
2912230,0,0
2912231,0,0
2912232,0,0
2912233,0,0
2912234,0,0
2912235,0,0
2912236,0,0
2912237,0,0
2912238,0,0
2912239,0,0
2912240,0,0
2912241,0,0
2912242,0,0
2912243,0,0
2912244,0,0
2912245,0,0
2912246,0,0
2912247,0,0
2912248,0,0
2912249,0,0
2912250,0,0
2912251,0,0
2912252,0,0
2912253,0,0
2912254,0,0
2912255,0,0
2912256,0,0
2912257,0,0
2912258,0,0
2912259,0,0
2912260,0,0
2912261,0,0
2912262,0,0
2912263,0,0
2912264,0,0
2912265,0,0
2912266,0,0
2912267,0,0
2912268,0,0
2912269,0,0
2912270,0,0
2912271,0,0
2912272,0,0
2912273,0,0
2912274,0,0
2912275,0,0
2912276,0,0
2912277,0,0
2912278,0,0
2912279,0,0
2912280,0,0
2912281,0,0
2912282,0,0
2912283,0,0
2912284,0,0
2912285,0,0
2912286,0,0
2912287,0,0
2912288,0,0
2912289,0,0
2912290,0,0
2912291,0,0
2912292,0,0
2912293,0,0
2912294,0,0
2912295,0,0
2912296,0,0
2912297,0,0
2912298,0,0
2912299,0,0
2912300,0,0
2912301,0,0
2912302,0,0
2912303,0,0
2912304,0,0
2912305,0,0
2912306,0,0
