"id","user_id","review_id","report_time","report_content"
11,1,2929,"2018-08-20","This review contains violent, graphic, promotional, or otherwise offensive content."
12,2,1004,"2018-08-20","This review is purposefully malicious and assaulting."
13,3,6850,"2018-08-20","This review contains violent, graphic, promotional, or otherwise offensive content."
14,4,2256,"2018-08-20","This review is purposefully malicious and assaulting."
15,5,1409,"2018-08-20","This review is purposefully malicious and assaulting."
16,6,2431,"2018-08-20","This review is purposefully malicious and assaulting."
17,7,487,"2018-08-20","This review is purposefully malicious and assaulting."
18,8,1755,"2018-08-20","This review contains false information or may be fake."
19,9,4196,"2018-08-20","This review contains false information or may be fake."
20,10,1660,"2018-08-20","This review contains violent, graphic, promotional, or otherwise offensive content."
