"id","user_id","review_id","report_time","report_content"
31,1,3145,"2018-08-20","This review is purposefully malicious and assaulting."
32,2,5195,"2018-08-20","This review contains false information or may be fake."
33,3,7003,"2018-08-20","This review is purposefully malicious and assaulting."
34,4,334,"2018-08-20","This review contains false information or may be fake."
35,5,3517,"2018-08-20","This review contains false information or may be fake."
36,6,6581,"2018-08-20","This review contains false information or may be fake."
37,7,2718,"2018-08-20","This review is purposefully malicious and assaulting."
38,8,1925,"2018-08-20","This review is purposefully malicious and assaulting."
39,9,7082,"2018-08-20","This review is purposefully malicious and assaulting."
40,10,6605,"2018-08-20","This review contains false information or may be fake."
