"id","user_id","review_id","report_time","report_content"
51,1,5615,"2018-08-20","This review contains false information or may be fake."
52,2,7288,"2018-08-20","This review contains false information or may be fake."
53,3,678,"2018-08-20","This review contains violent, graphic, promotional, or otherwise offensive content."
54,4,4321,"2018-08-20","This review contains violent, graphic, promotional, or otherwise offensive content."
55,5,3799,"2018-08-20","This review contains violent, graphic, promotional, or otherwise offensive content."
56,6,3858,"2018-08-20","This review contains false information or may be fake."
57,7,6569,"2018-08-20","This review contains false information or may be fake."
58,8,550,"2018-08-20","This review is purposefully malicious and assaulting."
59,9,6984,"2018-08-20","This review contains false information or may be fake."
60,10,633,"2018-08-20","This review is purposefully malicious and assaulting."
