"id","user_id","review_id","report_time","report_content"
41,1,503,"2018-08-20","This review contains violent, graphic, promotional, or otherwise offensive content."
42,2,6357,"2018-08-20","This review contains false information or may be fake."
43,3,4652,"2018-08-20","This review contains violent, graphic, promotional, or otherwise offensive content."
44,4,1234,"2018-08-20","This review is purposefully malicious and assaulting."
45,5,5409,"2018-08-20","This review is purposefully malicious and assaulting."
46,6,5266,"2018-08-20","This review contains false information or may be fake."
47,7,1461,"2018-08-20","This review contains violent, graphic, promotional, or otherwise offensive content."
48,8,1048,"2018-08-20","This review contains false information or may be fake."
49,9,1608,"2018-08-20","This review contains violent, graphic, promotional, or otherwise offensive content."
50,10,1141,"2018-08-20","This review contains violent, graphic, promotional, or otherwise offensive content."
