"id","user_id","review_id","report_time","report_content"
21,1,5176,"2018-08-20","This review contains false information or may be fake."
22,2,1325,"2018-08-20","This review contains false information or may be fake."
23,3,6998,"2018-08-20","This review contains false information or may be fake."
24,4,980,"2018-08-20","This review contains false information or may be fake."
25,5,1827,"2018-08-20","This review contains false information or may be fake."
26,6,4758,"2018-08-20","This review is purposefully malicious and assaulting."
27,7,7169,"2018-08-20","This review contains violent, graphic, promotional, or otherwise offensive content."
28,8,608,"2018-08-20","This review contains false information or may be fake."
29,9,6726,"2018-08-20","This review is purposefully malicious and assaulting."
30,10,2556,"2018-08-20","This review is purposefully malicious and assaulting."
