"id","user_id","review_id","report_time","report_content"
91,1,6410,"2018-08-20","This review contains false information or may be fake."
92,2,623,"2018-08-20","This review contains violent, graphic, promotional, or otherwise offensive content."
93,3,2219,"2018-08-20","This review is purposefully malicious and assaulting."
94,4,4804,"2018-08-20","This review is purposefully malicious and assaulting."
95,5,5554,"2018-08-20","This review contains violent, graphic, promotional, or otherwise offensive content."
96,6,4035,"2018-08-20","This review is purposefully malicious and assaulting."
97,7,4905,"2018-08-20","This review contains false information or may be fake."
98,8,991,"2018-08-20","This review contains false information or may be fake."
99,9,4412,"2018-08-20","This review contains violent, graphic, promotional, or otherwise offensive content."
100,10,3046,"2018-08-20","This review contains violent, graphic, promotional, or otherwise offensive content."
