"id","user_id","review_id","report_time","report_content"
61,1,5589,"2018-08-20","This review contains violent, graphic, promotional, or otherwise offensive content."
62,2,2059,"2018-08-20","This review contains false information or may be fake."
63,3,1775,"2018-08-20","This review contains false information or may be fake."
64,4,2550,"2018-08-20","This review is purposefully malicious and assaulting."
65,5,2695,"2018-08-20","This review is purposefully malicious and assaulting."
66,6,1236,"2018-08-20","This review contains false information or may be fake."
67,7,5230,"2018-08-20","This review is purposefully malicious and assaulting."
68,8,7304,"2018-08-20","This review contains false information or may be fake."
69,9,4362,"2018-08-20","This review is purposefully malicious and assaulting."
70,10,1202,"2018-08-20","This review contains false information or may be fake."
