"id","user_id","review_id","report_time","report_content"
81,1,6717,"2018-08-20","This review is purposefully malicious and assaulting."
82,2,176,"2018-08-20","This review is purposefully malicious and assaulting."
83,3,627,"2018-08-20","This review contains false information or may be fake."
84,4,2980,"2018-08-20","This review contains false information or may be fake."
85,5,5369,"2018-08-20","This review contains false information or may be fake."
86,6,6255,"2018-08-20","This review contains false information or may be fake."
87,7,434,"2018-08-20","This review is purposefully malicious and assaulting."
88,8,3599,"2018-08-20","This review contains false information or may be fake."
89,9,6784,"2018-08-20","This review is purposefully malicious and assaulting."
90,10,6067,"2018-08-20","This review is purposefully malicious and assaulting."
