"id","user_id","review_id","report_time","report_content"
71,1,6919,"2018-08-20","This review contains false information or may be fake."
72,2,3068,"2018-08-20","This review contains false information or may be fake."
73,3,5334,"2018-08-20","This review is purposefully malicious and assaulting."
74,4,1590,"2018-08-20","This review contains false information or may be fake."
75,5,2850,"2018-08-20","This review contains violent, graphic, promotional, or otherwise offensive content."
76,6,1837,"2018-08-20","This review contains false information or may be fake."
77,7,6806,"2018-08-20","This review is purposefully malicious and assaulting."
78,8,3760,"2018-08-20","This review contains violent, graphic, promotional, or otherwise offensive content."
79,9,4071,"2018-08-20","This review contains violent, graphic, promotional, or otherwise offensive content."
80,10,5995,"2018-08-20","This review is purposefully malicious and assaulting."
