"id","review_id","rating_type_id","star_ratings"
22231,3706,1,4
22232,3706,2,5
22233,3706,3,3
22234,3706,4,4
22235,3706,5,3
22236,3706,6,4
22237,3707,1,5
22238,3707,2,3
22239,3707,3,5
22240,3707,4,3
22241,3707,5,5
22242,3707,6,4
22243,3708,1,4
22244,3708,2,5
22245,3708,3,3
22246,3708,4,4
22247,3708,5,3
22248,3708,6,4
22249,3709,1,4
22250,3709,2,3
22251,3709,3,5
22252,3709,4,5
22253,3709,5,5
22254,3709,6,4
22255,3710,1,3
22256,3710,2,3
22257,3710,3,3
22258,3710,4,5
22259,3710,5,5
22260,3710,6,3
22261,3711,1,3
22262,3711,2,5
22263,3711,3,4
22264,3711,4,4
22265,3711,5,4
22266,3711,6,4
22267,3712,1,4
22268,3712,2,5
22269,3712,3,3
22270,3712,4,5
22271,3712,5,5
22272,3712,6,5
22273,3713,1,5
22274,3713,2,3
22275,3713,3,3
22276,3713,4,4
22277,3713,5,3
22278,3713,6,3
22279,3714,1,5
22280,3714,2,3
22281,3714,3,5
22282,3714,4,5
22283,3714,5,3
22284,3714,6,5
22285,3715,1,4
22286,3715,2,3
22287,3715,3,5
22288,3715,4,3
22289,3715,5,4
22290,3715,6,4
22291,3716,1,5
22292,3716,2,4
22293,3716,3,3
22294,3716,4,5
22295,3716,5,5
22296,3716,6,3
22297,3717,1,4
22298,3717,2,5
22299,3717,3,5
22300,3717,4,4
22301,3717,5,5
22302,3717,6,4
22303,3718,1,5
22304,3718,2,5
22305,3718,3,3
22306,3718,4,4
22307,3718,5,4
22308,3718,6,5
22309,3719,1,5
22310,3719,2,4
22311,3719,3,4
22312,3719,4,5
22313,3719,5,5
22314,3719,6,5
22315,3720,1,5
22316,3720,2,3
22317,3720,3,3
22318,3720,4,3
22319,3720,5,4
22320,3720,6,5
22321,3721,1,3
22322,3721,2,3
22323,3721,3,5
22324,3721,4,4
22325,3721,5,5
22326,3721,6,3
22327,3722,1,3
22328,3722,2,4
22329,3722,3,5
22330,3722,4,3
22331,3722,5,4
22332,3722,6,4
22333,3723,1,5
22334,3723,2,4
22335,3723,3,4
22336,3723,4,5
22337,3723,5,4
22338,3723,6,5
22339,3724,1,3
22340,3724,2,4
22341,3724,3,5
22342,3724,4,3
22343,3724,5,3
22344,3724,6,5
22345,3725,1,5
22346,3725,2,4
22347,3725,3,3
22348,3725,4,4
22349,3725,5,4
22350,3725,6,5
22351,3726,1,3
22352,3726,2,5
22353,3726,3,3
22354,3726,4,5
22355,3726,5,4
22356,3726,6,3
22357,3727,1,4
22358,3727,2,4
22359,3727,3,5
22360,3727,4,5
22361,3727,5,4
22362,3727,6,3
22363,3728,1,5
